code_region,region,departement,rang_vaccinal,date_debut_semaine,nb
84,ARA,01,1,2021-01-18,1694
84,ARA,01,1,2021-01-25,2014
84,ARA,01,2,2021-01-25,119
84,ARA,01,1,2021-02-01,2017
84,ARA,01,2,2021-02-01,1269
84,ARA,01,1,2021-02-08,2146
84,ARA,01,2,2021-02-08,1790
84,ARA,01,1,2021-02-15,2111
84,ARA,01,2,2021-02-15,1199
84,ARA,01,1,2021-02-22,2089
84,ARA,01,2,2021-02-22,2238
84,ARA,01,1,2021-03-01,2588
84,ARA,01,2,2021-03-01,1986
84,ARA,01,1,2021-03-08,3276
84,ARA,01,2,2021-03-08,2200
84,ARA,01,1,2021-03-15,5234
84,ARA,01,2,2021-03-15,1950
84,ARA,01,1,2021-03-22,6458
84,ARA,01,2,2021-03-22,1853
84,ARA,01,1,2021-03-29,6700
84,ARA,01,2,2021-03-29,2607
84,ARA,01,1,2021-04-05,9060
84,ARA,01,2,2021-04-05,3476
84,ARA,01,1,2021-04-12,4415
84,ARA,01,2,2021-04-12,6295
84,ARA,01,1,2021-04-19,1901
84,ARA,01,2,2021-04-19,6302
84,ARA,01,1,2021-04-26,1196
84,ARA,01,2,2021-04-26,6270
32,HDF,02,1,2021-01-18,3977
32,HDF,02,1,2021-01-25,1036
32,HDF,02,2,2021-01-25,350
32,HDF,02,1,2021-02-01,550
32,HDF,02,2,2021-02-01,1592
32,HDF,02,1,2021-02-08,1790
32,HDF,02,2,2021-02-08,2432
32,HDF,02,1,2021-02-15,2072
32,HDF,02,2,2021-02-15,2762
32,HDF,02,1,2021-02-22,2014
32,HDF,02,2,2021-02-22,915
32,HDF,02,1,2021-03-01,5832
32,HDF,02,2,2021-03-01,604
32,HDF,02,1,2021-03-08,5396
32,HDF,02,2,2021-03-08,1745
32,HDF,02,1,2021-03-15,6711
32,HDF,02,2,2021-03-15,1908
32,HDF,02,1,2021-03-22,6338
32,HDF,02,2,2021-03-22,2148
32,HDF,02,1,2021-03-29,5574
32,HDF,02,2,2021-03-29,5000
32,HDF,02,1,2021-04-05,3492
32,HDF,02,2,2021-04-05,5087
32,HDF,02,1,2021-04-12,1602
32,HDF,02,2,2021-04-12,6800
32,HDF,02,1,2021-04-19,895
32,HDF,02,2,2021-04-19,5118
32,HDF,02,1,2021-04-26,819
32,HDF,02,2,2021-04-26,4573
84,ARA,03,1,2021-01-18,4531
84,ARA,03,2,2021-01-18,3
84,ARA,03,1,2021-01-25,2675
84,ARA,03,2,2021-01-25,82
84,ARA,03,1,2021-02-01,2037
84,ARA,03,2,2021-02-01,624
84,ARA,03,1,2021-02-08,2218
84,ARA,03,2,2021-02-08,773
84,ARA,03,1,2021-02-15,1929
84,ARA,03,2,2021-02-15,4541
84,ARA,03,1,2021-02-22,2164
84,ARA,03,2,2021-02-22,3650
84,ARA,03,1,2021-03-01,3808
84,ARA,03,2,2021-03-01,2542
84,ARA,03,1,2021-03-08,3284
84,ARA,03,2,2021-03-08,2458
84,ARA,03,1,2021-03-15,4626
84,ARA,03,2,2021-03-15,1257
84,ARA,03,1,2021-03-22,5795
84,ARA,03,2,2021-03-22,1767
84,ARA,03,1,2021-03-29,4244
84,ARA,03,2,2021-03-29,3152
84,ARA,03,1,2021-04-05,3931
84,ARA,03,2,2021-04-05,2442
84,ARA,03,1,2021-04-12,862
84,ARA,03,2,2021-04-12,4945
84,ARA,03,1,2021-04-19,183
84,ARA,03,2,2021-04-19,5910
84,ARA,03,1,2021-04-26,181
84,ARA,03,2,2021-04-26,4268
93,PAC,04,1,2021-01-18,1795
93,PAC,04,2,2021-01-18,5
93,PAC,04,1,2021-01-25,1867
93,PAC,04,2,2021-01-25,32
93,PAC,04,1,2021-02-01,1681
93,PAC,04,2,2021-02-01,188
93,PAC,04,1,2021-02-08,1281
93,PAC,04,2,2021-02-08,655
93,PAC,04,1,2021-02-15,158
93,PAC,04,2,2021-02-15,1743
93,PAC,04,1,2021-02-22,74
93,PAC,04,2,2021-02-22,1972
93,PAC,04,1,2021-03-01,856
93,PAC,04,2,2021-03-01,1595
93,PAC,04,1,2021-03-08,1774
93,PAC,04,2,2021-03-08,1219
93,PAC,04,1,2021-03-15,1838
93,PAC,04,2,2021-03-15,80
93,PAC,04,1,2021-03-22,2661
93,PAC,04,2,2021-03-22,98
93,PAC,04,1,2021-03-29,4220
93,PAC,04,2,2021-03-29,325
93,PAC,04,1,2021-04-05,1940
93,PAC,04,2,2021-04-05,1810
93,PAC,04,1,2021-04-12,1831
93,PAC,04,2,2021-04-12,1699
93,PAC,04,1,2021-04-19,417
93,PAC,04,2,2021-04-19,2619
93,PAC,04,1,2021-04-26,43
93,PAC,04,2,2021-04-26,3766
93,PAC,05,1,2021-01-18,977
93,PAC,05,1,2021-01-25,1155
93,PAC,05,2,2021-01-25,55
93,PAC,05,1,2021-02-01,931
93,PAC,05,2,2021-02-01,244
93,PAC,05,1,2021-02-08,501
93,PAC,05,2,2021-02-08,676
93,PAC,05,1,2021-02-15,427
93,PAC,05,2,2021-02-15,760
93,PAC,05,1,2021-02-22,122
93,PAC,05,2,2021-02-22,1071
93,PAC,05,1,2021-03-01,1449
93,PAC,05,2,2021-03-01,862
93,PAC,05,1,2021-03-08,2190
93,PAC,05,2,2021-03-08,508
93,PAC,05,1,2021-03-15,1168
93,PAC,05,2,2021-03-15,442
93,PAC,05,1,2021-03-22,3010
93,PAC,05,2,2021-03-22,121
93,PAC,05,1,2021-03-29,3474
93,PAC,05,2,2021-03-29,998
93,PAC,05,1,2021-04-05,1091
93,PAC,05,2,2021-04-05,1712
93,PAC,05,1,2021-04-12,847
93,PAC,05,2,2021-04-12,1484
93,PAC,05,1,2021-04-19,139
93,PAC,05,2,2021-04-19,2994
93,PAC,05,1,2021-04-26,76
93,PAC,05,2,2021-04-26,3148
93,PAC,06,1,2021-01-18,12230
93,PAC,06,2,2021-01-18,10
93,PAC,06,1,2021-01-25,8649
93,PAC,06,2,2021-01-25,836
93,PAC,06,1,2021-02-01,3911
93,PAC,06,2,2021-02-01,2598
93,PAC,06,1,2021-02-08,935
93,PAC,06,2,2021-02-08,4926
93,PAC,06,1,2021-02-15,2664
93,PAC,06,2,2021-02-15,11454
93,PAC,06,1,2021-02-22,8989
93,PAC,06,2,2021-02-22,8185
93,PAC,06,1,2021-03-01,19969
93,PAC,06,2,2021-03-01,3897
93,PAC,06,1,2021-03-08,23713
93,PAC,06,2,2021-03-08,696
93,PAC,06,1,2021-03-15,14771
93,PAC,06,2,2021-03-15,2015
93,PAC,06,1,2021-03-22,13625
93,PAC,06,2,2021-03-22,6928
93,PAC,06,1,2021-03-29,11459
93,PAC,06,2,2021-03-29,9612
93,PAC,06,1,2021-04-05,5869
93,PAC,06,2,2021-04-05,9192
93,PAC,06,1,2021-04-12,2217
93,PAC,06,2,2021-04-12,9433
93,PAC,06,1,2021-04-19,543
93,PAC,06,2,2021-04-19,9051
93,PAC,06,1,2021-04-26,94
93,PAC,06,2,2021-04-26,9682
84,ARA,07,1,2021-01-18,678
84,ARA,07,2,2021-01-18,1
84,ARA,07,1,2021-01-25,761
84,ARA,07,2,2021-01-25,64
84,ARA,07,1,2021-02-01,1226
84,ARA,07,2,2021-02-01,364
84,ARA,07,1,2021-02-08,1443
84,ARA,07,2,2021-02-08,544
84,ARA,07,1,2021-02-15,1614
84,ARA,07,2,2021-02-15,641
84,ARA,07,1,2021-02-22,2102
84,ARA,07,2,2021-02-22,1128
84,ARA,07,1,2021-03-01,2280
84,ARA,07,2,2021-03-01,1486
84,ARA,07,1,2021-03-08,2856
84,ARA,07,2,2021-03-08,1473
84,ARA,07,1,2021-03-15,4285
84,ARA,07,2,2021-03-15,1476
84,ARA,07,1,2021-03-22,4499
84,ARA,07,2,2021-03-22,1973
84,ARA,07,1,2021-03-29,4759
84,ARA,07,2,2021-03-29,2008
84,ARA,07,1,2021-04-05,4036
84,ARA,07,2,2021-04-05,2552
84,ARA,07,1,2021-04-12,3328
84,ARA,07,2,2021-04-12,4062
84,ARA,07,1,2021-04-19,1996
84,ARA,07,2,2021-04-19,4293
84,ARA,07,1,2021-04-26,1306
84,ARA,07,2,2021-04-26,4300
44,GES,08,1,2021-01-18,1740
44,GES,08,2,2021-01-18,3
44,GES,08,1,2021-01-25,1566
44,GES,08,2,2021-01-25,62
44,GES,08,1,2021-02-01,971
44,GES,08,2,2021-02-01,559
44,GES,08,1,2021-02-08,1305
44,GES,08,2,2021-02-08,1093
44,GES,08,1,2021-02-15,700
44,GES,08,2,2021-02-15,1817
44,GES,08,1,2021-02-22,462
44,GES,08,2,2021-02-22,1952
44,GES,08,1,2021-03-01,2095
44,GES,08,2,2021-03-01,1109
44,GES,08,1,2021-03-08,2444
44,GES,08,2,2021-03-08,1072
44,GES,08,1,2021-03-15,3153
44,GES,08,2,2021-03-15,447
44,GES,08,1,2021-03-22,4185
44,GES,08,2,2021-03-22,321
44,GES,08,1,2021-03-29,3560
44,GES,08,2,2021-03-29,2174
44,GES,08,1,2021-04-05,2320
44,GES,08,2,2021-04-05,2264
44,GES,08,1,2021-04-12,536
44,GES,08,2,2021-04-12,3114
44,GES,08,1,2021-04-19,232
44,GES,08,2,2021-04-19,3995
44,GES,08,1,2021-04-26,1133
44,GES,08,2,2021-04-26,3240
76,OCC,09,1,2021-01-18,1825
76,OCC,09,1,2021-01-25,1226
76,OCC,09,2,2021-01-25,235
76,OCC,09,1,2021-02-01,416
76,OCC,09,2,2021-02-01,808
76,OCC,09,1,2021-02-08,217
76,OCC,09,2,2021-02-08,1260
76,OCC,09,1,2021-02-15,354
76,OCC,09,2,2021-02-15,1339
76,OCC,09,1,2021-02-22,665
76,OCC,09,2,2021-02-22,936
76,OCC,09,1,2021-03-01,1316
76,OCC,09,2,2021-03-01,361
76,OCC,09,1,2021-03-08,1826
76,OCC,09,2,2021-03-08,83
76,OCC,09,1,2021-03-15,2278
76,OCC,09,2,2021-03-15,282
76,OCC,09,1,2021-03-22,2840
76,OCC,09,2,2021-03-22,543
76,OCC,09,1,2021-03-29,3494
76,OCC,09,2,2021-03-29,1135
76,OCC,09,1,2021-04-05,3496
76,OCC,09,2,2021-04-05,1635
76,OCC,09,1,2021-04-12,2019
76,OCC,09,2,2021-04-12,2375
76,OCC,09,1,2021-04-19,387
76,OCC,09,2,2021-04-19,3149
76,OCC,09,1,2021-04-26,68
76,OCC,09,2,2021-04-26,3142
44,GES,10,1,2021-01-18,2598
44,GES,10,2,2021-01-18,4
44,GES,10,1,2021-01-25,1883
44,GES,10,2,2021-01-25,82
44,GES,10,1,2021-02-01,1437
44,GES,10,2,2021-02-01,649
44,GES,10,1,2021-02-08,1809
44,GES,10,2,2021-02-08,601
44,GES,10,1,2021-02-15,563
44,GES,10,2,2021-02-15,2248
44,GES,10,1,2021-02-22,313
44,GES,10,2,2021-02-22,1860
44,GES,10,1,2021-03-01,2469
44,GES,10,2,2021-03-01,1386
44,GES,10,1,2021-03-08,3842
44,GES,10,2,2021-03-08,1565
44,GES,10,1,2021-03-15,5515
44,GES,10,2,2021-03-15,132
44,GES,10,1,2021-03-22,5656
44,GES,10,2,2021-03-22,330
44,GES,10,1,2021-03-29,3770
