dep;vaccin;jour;n_tot_dose1;n_tot_dose2
01;1;2021-05-13;122035;63258
01;2;2021-05-13;4829;4430
01;3;2021-05-13;31999;1559
01;4;2021-05-13;1134;1
02;1;2021-05-13;97819;55163
02;2;2021-05-13;7682;6332
02;3;2021-05-13;35513;1305
02;4;2021-05-13;1692;0
03;1;2021-05-13;93522;50135
03;2;2021-05-13;12752;7221
03;3;2021-05-13;21671;844
03;4;2021-05-13;751;1
04;1;2021-05-13;38956;25845
04;2;2021-05-13;1;1
04;3;2021-05-13;9869;556
04;4;2021-05-13;384;2
05;1;2021-05-13;35096;22129
05;3;2021-05-13;9684;458
05;4;2021-05-13;317;0
06;1;2021-05-13;265952;157217
06;2;2021-05-13;44000;30139
06;3;2021-05-13;61445;3453
06;4;2021-05-13;1792;6
07;1;2021-05-13;70362;35764
07;2;2021-05-13;15337;10551
07;3;2021-05-13;18657;1188
07;4;2021-05-13;854;1
08;1;2021-05-13;64589;34705
08;2;2021-05-13;3254;1522
08;3;2021-05-13;19906;1147
08;4;2021-05-13;846;1
09;1;2021-05-13;39763;26002
09;2;2021-05-13;7041;3074
09;3;2021-05-13;7015;367
09;4;2021-05-13;250;0
10;1;2021-05-13;75078;40627
10;2;2021-05-13;8373;4425
10;3;2021-05-13;16886;933
10;4;2021-05-13;712;1
11;1;2021-05-13;80653;45089
11;2;2021-05-13;7517;4514
11;3;2021-05-13;24319;1520
11;4;2021-05-13;934;2
12;1;2021-05-13;75058;45165
12;2;2021-05-13;10899;7730
12;3;2021-05-13;14721;945
12;4;2021-05-13;449;0
13;1;2021-05-13;446025;272329
13;2;2021-05-13;52747;21480
13;3;2021-05-13;85680;4850
13;4;2021-05-13;3265;5
14;1;2021-05-13;150082;81901
14;2;2021-05-13;23107;13281
14;3;2021-05-13;58676;2769
14;4;2021-05-13;2246;0
15;1;2021-05-13;38391;23961
15;2;2021-05-13;1986;1728
15;3;2021-05-13;11308;538
15;4;2021-05-13;442;0
16;1;2021-05-13;82642;46788
16;2;2021-05-13;7022;3868
16;3;2021-05-13;23737;732
16;4;2021-05-13;957;2
17;1;2021-05-13;154969;102033
17;2;2021-05-13;10513;6586
17;3;2021-05-13;53530;2388
17;4;2021-05-13;2281;1
18;1;2021-05-13;73066;39382
18;2;2021-05-13;8855;7547
18;3;2021-05-13;15394;424
18;4;2021-05-13;591;0
19;1;2021-05-13;59427;36611
19;2;2021-05-13;4920;2115
19;3;2021-05-13;18815;940
19;4;2021-05-13;654;0
21;1;2021-05-13;99314;54175
21;2;2021-05-13;17752;16593
21;3;2021-05-13;40012;1890
21;4;2021-05-13;1368;2
22;1;2021-05-13;154642;99486
22;2;2021-05-13;19731;7431
22;3;2021-05-13;40932;1683
22;4;2021-05-13;1425;1
23;1;2021-05-13;35815;20529
23;2;2021-05-13;1683;781
23;3;2021-05-13;7504;476
23;4;2021-05-13;343;0
24;1;2021-05-13;95790;60277
24;2;2021-05-13;12722;6800
24;3;2021-05-13;28510;1397
24;4;2021-05-13;1396;0
25;1;2021-05-13;90866;41846
25;2;2021-05-13;24425;19221
25;3;2021-05-13;30956;1226
25;4;2021-05-13;1221;0
26;1;2021-05-13;110722;59846
26;2;2021-05-13;15761;7717
26;3;2021-05-13;34506;2255
26;4;2021-05-13;968;2
27;1;2021-05-13;118363;63715
27;2;2021-05-13;9330;4039
27;3;2021-05-13;32000;1180
27;4;2021-05-13;1292;4
28;1;2021-05-13;84814;46015
28;2;2021-05-13;10713;8357
28;3;2021-05-13;25507;1140
28;4;2021-05-13;861;0
29;1;2021-05-13;195445;111203
29;2;2021-05-13;19177;8648
29;3;2021-05-13;85281;2452
29;4;2021-05-13;3200;3
2A;1;2021-05-13;54949;29343
2A;2;2021-05-13;4959;4745
2A;3;2021-05-13;4093;324
2A;4;2021-05-13;72;1
2B;1;2021-05-13;55726;33319
2B;2;2021-05-13;3925;3404
2B;3;2021-05-13;5725;630
2B;4;2021-05-13;231;0
30;1;2021-05-13;152305;95364
30;2;2021-05-13;22674;8878
30;3;2021-05-13;47249;2023
30;4;2021-05-13;1829;1
31;1;2021-05-13;234926;144253
31;2;2021-05-13;32034;6748
31;3;2021-05-13;84941;3820
31;4;2021-05-13;2661;2
32;1;2021-05-13;57036;30336
32;2;2021-05-13;5;63
32;3;2021-05-13;12170;634
32;4;2021-05-13;443;0
33;1;2021-05-13;297584;174210
33;2;2021-05-13;52674;28216
33;3;2021-05-13;127363;5563
33;4;2021-05-13;4980;6
34;1;2021-05-13;248869;136859
34;2;2021-05-13;23079;13552
34;3;2021-05-13;85652;3949
34;4;2021-05-13;3619;1
35;1;2021-05-13;195931;110590
35;2;2021-05-13;24968;12611
35;3;2021-05-13;81227;1757
35;4;2021-05-13;2682;3
36;1;2021-05-13;59315;33872
36;2;2021-05-13;3240;601
36;3;2021-05-13;16255;486
36;4;2021-05-13;551;0
37;1;2021-05-13;118594;63447
37;2;2021-05-13;9330;5251
37;3;2021-05-13;54447;1607
37;4;2021-05-13;2154;2
38;1;2021-05-13;230075;120813
38;2;2021-05-13;40658;17373
38;3;2021-05-13;85006;4059
38;4;2021-05-13;2413;2
39;1;2021-05-13;48706;26027
39;2;2021-05-13;12129;10711
39;3;2021-05-13;17309;904
39;4;2021-05-13;599;0
