dep;vaccin;jour;n_tot_dose1;n_tot_dose2
00;1;2021-04-05;2;2
01;1;2021-04-05;46222;22399
01;2;2021-04-05;4758;598
01;3;2021-04-05;19021;8
02;1;2021-04-05;47150;22694
02;2;2021-04-05;5068;2868
02;3;2021-04-05;17415;3
03;1;2021-04-05;39512;21561
03;2;2021-04-05;7030;6257
03;3;2021-04-05;13905;7
04;1;2021-04-05;21268;9927
04;2;2021-04-05;1;1
04;3;2021-04-05;6831;7
05;1;2021-04-05;17925;7299
05;3;2021-04-05;6539;0
06;1;2021-04-05;133750;59110
06;2;2021-04-05;27444;8287
06;3;2021-04-05;51336;14
07;1;2021-04-05;29012;15112
07;2;2021-04-05;9251;3528
07;3;2021-04-05;11660;1
08;1;2021-04-05;28056;13931
08;2;2021-04-05;727;0
08;3;2021-04-05;13050;4
09;1;2021-04-05;16768;7631
09;2;2021-04-05;2963;1213
09;3;2021-04-05;4807;0
10;1;2021-04-05;35445;16382
10;2;2021-04-05;3870;4
10;3;2021-04-05;9896;1
11;1;2021-04-05;35752;17849
11;2;2021-04-05;2480;172
11;3;2021-04-05;15578;18
12;1;2021-04-05;34858;16894
12;2;2021-04-05;5618;2411
12;3;2021-04-05;9609;0
13;1;2021-04-05;221158;95722
13;2;2021-04-05;14203;7517
13;3;2021-04-05;64123;21
14;1;2021-04-05;66440;34894
14;2;2021-04-05;7410;3515
14;3;2021-04-05;35189;4
15;1;2021-04-05;17091;9505
15;2;2021-04-05;1755;505
15;3;2021-04-05;7078;6
16;1;2021-04-05;35847;20610
16;2;2021-04-05;2284;664
16;3;2021-04-05;13116;10
17;1;2021-04-05;77380;43029
17;2;2021-04-05;4322;1130
17;3;2021-04-05;29481;0
18;1;2021-04-05;31772;18252
18;2;2021-04-05;4408;1225
18;3;2021-04-05;8462;1
19;1;2021-04-05;31051;16610
19;2;2021-04-05;2075;17
19;3;2021-04-05;10364;1
21;1;2021-04-05;46179;19488
21;2;2021-04-05;15041;8886
21;3;2021-04-05;25095;3
22;1;2021-04-05;83229;38869
22;2;2021-04-05;5831;548
22;3;2021-04-05;22944;7
23;1;2021-04-05;15779;9249
23;2;2021-04-05;792;0
23;3;2021-04-05;4460;0
24;1;2021-04-05;44054;20078
24;2;2021-04-05;4101;1001
24;3;2021-04-05;15973;17
25;1;2021-04-05;35132;16810
25;2;2021-04-05;17194;9852
25;3;2021-04-05;20030;9
26;1;2021-04-05;49898;24597
26;2;2021-04-05;6991;2499
26;3;2021-04-05;23413;11
27;1;2021-04-05;54041;25098
27;2;2021-04-05;3535;37
27;3;2021-04-05;16342;0
28;1;2021-04-05;34664;20320
28;2;2021-04-05;6389;1435
28;3;2021-04-05;14617;1
29;1;2021-04-05;88125;48218
29;2;2021-04-05;4777;1047
29;3;2021-04-05;46934;9
2A;1;2021-04-05;24557;12735
2A;2;2021-04-05;4586;1336
2A;3;2021-04-05;3638;10
2B;1;2021-04-05;26453;12604
